,pmid,pmd,journal,year
9353,23472569,,  Subst Use Misuse,  2012 Sep
9354,23472123,PMC3589457,  Health Aff (Millwood),  2012 Jul
9355,23470061,,  Pediatr Infect Dis J,  2012 Nov
9356,23469346,PMC3587940,  Lancet Neurol,  2012 Aug
9357,23469299,PMC3584985,  Nature,  2012 Jul 4
9358,23468056,,  J Public Health Dent,  2013 Spring
9359,23466646,,  BMJ Open,  2012 Jul 2
9360,23465609,,  Phytother Res,  2013 May
9361,23465104,,  Int J Environ Res Public Health,  2012 May
9362,23464799,NIHMS452275,  Int J Environ Res Public Health,  2012 May
9363,23464713,,  Int J Environ Res Public Health,  2012 May
9364,23461308,,  BMJ,  2012 Jun 29
9365,23460869,PMC3583867,  J Community Health,  2012 Dec
9366,23459924,,  Soc Sci Med,  2012 Oct
9367,23459196,PMC3581447,  Spat Spatiotemporal Epidemiol,  2011 Dec
9368,23458953,PMC3752763,  Am J Phys Anthropol,  2012 Sep
9369,23458102,,  J Clin Epidemiol,  2012 Sep
9370,23456415,,  Int J Gynaecol Obstet,  2012 Sep
9371,23454164,PMC3771416,  J Health Commun,  2012
9372,23452916,,  Am J Hematol,  2012 Aug
9373,23452547,PMC3614520,  J Urban Health,  2013 Feb
9374,23452373,PMC3599541,  J Pediatr Psychol,  2012 Sep
9375,23452318,EMS73262,  Anadolu Kardiyol Derg,  2012 Sep
9376,23450564,,  Int J Gynaecol Obstet,  2012 Sep
9377,23448615,PMC3599423,  BMC Infect Dis,  2012 Jun 24
9378,23446496,NIHMS459521,  BMC Med Ethics,  2012 Jun 22
9379,23444855,,  Ophthalmology,  2012 Oct
9380,23444716,,  Plant Methods,  2012 Jun 21
9381,26866109,,  BMC Public Health,  2012 Jun 21
9382,26866105,,  PLoS One,  2012
9383,25276517,PMC4168563,  PLoS One,  2012
9384,24804022,,  PLoS Med,  2012
9385,23444059,NIHMS454192,  PLoS Med,  2012
9386,23442524,PMC3599555,  J Community Health,  2012 Dec
9387,23442496,,  Soc Psychiatry Psychiatr Epidemiol,  2013 Feb
9388,23440405,,  Prim Health Care Res Dev,  2012 Oct
9389,23440380,,  J Biosoc Sci,  2013 Jan
9390,23439898,PMC4535055,  Trop Med Int Health,  2012 Aug
9391,23438082,NIHMS562000,  Public Health Action,  2012 Jun 21
9392,23437625,,  Zookeys,  2012
9393,23437499,,  J Infect Dis,  2012 Sep 1
9394,23437368,PMC3577721,  Pediatrics,  2012 Jul
9395,23435794,PMC3586185,  Extremophiles,  2012 Jul
9396,23433404,,  Emerg Infect Dis,  2012 Jul
9397,23433355,,  J Nat Prod,  2012 Jul 27
9398,23433316,,  Anat Rec (Hoboken),  2012 Aug
9399,23431405,PMC3576340,  Trop Anim Health Prod,  2013 Jan
9400,23431274,PMC3576379,  PLoS One,  2012
9401,23430375,,  PLoS One,  2012
9402,23427673,,  Int J Hyg Environ Health,  2013 Jan
9403,23425703,,  Cochrane Database Syst Rev,  2012 Jun 13
9404,23421605,PMC3599365,  Public Health Nutr,  2012 Sep
9405,23420069,,  Anim Sci J,  2012 Jun
9406,23419595,PMC3575117,  J Public Health Res,  2012 Apr 30
9407,23419113,,  Pediatr Infect Dis J,  2012 Sep
9408,23418502,PMC3572150,  BMC Public Health,  2012 Jun 12
9409,23418427,PMC3572108,  AIDS Res Treat,  2012
9410,23418133,,  Proc Natl Acad Sci U S A,  2012 Jun 26
9411,23417827,,  Malar J,  2012 Jun 8
9412,23416987,,  Health Care Women Int,  2012
9413,23416835,,  Curr Biol,  2012 Jun 5
9414,23416125,,  BJOG,  2012 Aug
9415,23416122,,  PLoS One,  2012
9416,23414116,,  Am Nat,  2012 Jul
9417,23414104,PMC3585789,  Paediatr Int Child Health,  2012 May
9418,23413739,,  Praxis (Bern 1994),  2012 Jun 6
9419,23410133,PMC3584914,  PLoS Negl Trop Dis,  2012
9420,23408950,PMC3569446,  JAMA,  2012 May 16
9421,23408124,,  Ticks Tick Borne Dis,  2012 Jun
9422,23407467,PMC3831875,  PLoS Pathog,  2012
9423,23406522,PMC3583739,  J Ethnopharmacol,  2012 Jul 13
9424,23406288,PMC3576302,  Case Rep Med,  2012
9425,23406237,,  Proc Biol Sci,  2012 Sep 7
9426,23387931,,  Hum Ecol Interdiscip J,  2012 Jun
9427,23405122,PMC3566220,  Afr J AIDS Res,  2012 Jun
9428,23403357,,  Am J Perinatol,  2012 Sep
9429,23399612,,  J Laryngol Otol,  2012 Jun
9430,23396999,PMC3565083,  Acta Trop,  2012 Sep
9431,23396849,PMC3600624,  J Anim Ecol,  2012 Nov
9432,23394328,,  Int J Tuberc Lung Dis,  2012 Apr
9433,23391385,,  Asian J Neurosurg,  2012 Jan
9434,23390278,PMC3666812,  Scand J Public Health,  2012 May
9435,23389897,PMC3627108,  Contraception,  2012 Nov
9436,23388493,,  J Clin Virol,  2012 Aug
9437,23387300,NIHMS518857,  Tob Control,  2013 Nov
9438,23385950,NIHMS452176,  Am J Phys Anthropol,  2012 Sep
9439,23384036,PMC3598537,  Ticks Tick Borne Dis,  2012 Jun
9440,23383972,PMC3599752,  ScientificWorldJournal,  2012
9441,23383106,PMC3557244,  Bull Environ Contam Toxicol,  2012 Aug
9442,23382744,,  J Clin Imaging Sci,  2012
9443,23382166,PMC3617865,  Proc Natl Acad Sci U S A,  2012 Jun 5
9444,23382156,PMC3592534,  AIDS Res Treat,  2012
9445,23382080,NIHMS431370,  Radiat Prot Dosimetry,  2012 Dec
9446,23380536,,  J Insect Physiol,  2012 Aug
9447,23379737,PMC3599922,  Emerg Infect Dis,  2012 Jun
9448,23378268,,  Parasit Vectors,  2012 May 19
9449,23376043,,  Emerg Infect Dis,  2012 Jun
9450,23375964,PMC3581814,  BMC Public Health,  2012 May 18
9451,23375142,PMC3570388,  J Acquir Immune Defic Syndr,  2012 Sep 1
9452,23374429,PMC3572415,  Anal Chim Acta,  2012 Jun 4
9453,23372813,PMC3555827,  Cochrane Database Syst Rev,  2012 May 16
9454,23372801,PMC3553007,  J Acquir Immune Defic Syndr,  2012 Sep 1
9455,23372713,PMC3556081,  BMC Public Health,  2012 May 16
9456,23369797,PMC3986472,  Health Place,  2012 Sep
9457,23369762,,  PLoS One,  2012
9458,23369511,,  Theor Appl Genet,  2012 Sep
9459,23368931,PMC3564692,  BMC Pregnancy Childbirth,  2012 May 14
9460,23368667,NIHMS442257,  Int J STD AIDS,  2012 Mar
9461,23365442,PMC3624227,  Pediatr Infect Dis J,  2012 Jul
9462,23364082,,  Ophthalmologe,  2012 May
9463,23363589,,  Health Place,  2012 Jul
9464,23363539,,  AIDS Res Treat,  2012
9465,26866104,,  Infect Genet Evol,  2012 Aug
9466,26866102,,  Acta Trop,  2012 Aug
9467,26866101,,  J Environ Sci Health B,  2012 Sep
9468,26866100,,  Trop Med Int Health,  2012 Jul
9469,23361884,,  PLoS One,  2012
9470,23361337,,  PLoS One,  2012
9471,23359829,PMC3554572,  GM Crops Food,  2012 Apr-Jun
9472,23359714,PMC3562807,  HIV AIDS (Auckl),  2012
9473,23356383,,  Am J Hematol,  2012 Jul
9474,23356072,,  Hum Genet,  2012 Aug
9475,23356059,,  Matern Child Health J,  2013 Apr
9476,23350587,,  Int Dent J,  2012 Jun
9477,23349786,PMC3547931,  Glob Public Health,  2012
9478,23349708,PMC3549910,  Genet Res Int,  2012
9479,23347795,PMC3562503,  Proc Natl Acad Sci U S A,  2012 May 22
9480,23347790,,  Support Care Cancer,  2012 Sep
9481,23347702,,  Epidemiol Infect,  2013 Mar
9482,23347548,PMC3559298,  Indoor Air,  2013 Feb
9483,23346416,,  Virus Res,  2012 Jul
9484,23344546,NIHMS444895,  PLoS One,  2012
9485,23343880,PMC3596778,  PLoS One,  2012
9486,23343572,PMC3561258,  Eur J Nutr,  2013 Mar
9487,23343127,PMC3576266,  Environ Toxicol Chem,  2012 Jul
9488,23343099,PMC3558435,  Afr J Psychiatry (Johannesbg),  2012 Mar
9489,23342996,PMC3582548,  Afr J Psychiatry (Johannesbg),  2012 Mar
9490,23342143,PMC3544761,  AIDS Res Treat,  2012
9491,23341984,PMC3547063,  AIDS Res Treat,  2012
9492,23341884,PMC3544928,  Vaccine,  2012 Apr 27
9493,23340041,,  Vaccine,  2012 Apr 27
9494,23339719,,  Vaccine,  2012 Apr 27
9495,23339463,PMC3607918,  Vaccine,  2012 Apr 27
9496,23339198,PMC3592520,  Vaccine,  2012 Apr 27
9497,23337367,NIHMS826049,  Vaccine,  2012 Apr 27
9498,23336727,,  Int J Epidemiol,  2012 Jun
9499,23336616,,  Pediatr Infect Dis J,  2012 Jul
9500,23336005,PMC3545885,  Arch Virol,  2012 Aug
9501,23335973,PMC3546008,  J Hum Evol,  2012 Jun
9502,23332563,PMC3580288,  Contraception,  2012 Dec
9503,23331870,,  Parasit Vectors,  2012 Apr 28
9504,23330720,,  Malar J,  2012 Jul 4
9505,23330036,,  Int J Parasitol,  2012 May 1
9506,23330028,,  BMC Fam Pract,  2012 Apr 26
9507,23329566,NIHMS443314,  J Biomed Biotechnol,  2012
9508,23327329,,  Radiat Prot Dosimetry,  2012 Dec
9509,23326620,PMC3542179,  Arch Dis Child,  2012 Jun
9510,23326546,PMC3543394,  Theor Appl Genet,  2012 Aug
9511,23326428,PMC3541137,  AIDS Care,  2012
9512,23326398,PMC3543450,  PLoS One,  2012
9513,23326367,PMC3541275,  Trop Anim Health Prod,  2012 Oct
9514,23326341,PMC3541372,  J Neurovirol,  2012 Jun
9515,23326204,PMC3544393,  Environ Entomol,  2012 Feb
9516,23324978,PMC3644217,  Health Policy Plan,  2012 May
9517,23324977,PMC4906311,  Forum Health Econ Policy,  2012 Apr 19
9518,23324658,,  Clin Infect Dis,  2012 Jul
9519,23324389,PMC3617103,  Trans R Soc Trop Med Hyg,  2012 Jun
9520,23324330,PMC3564891,  Adv Parasitol,  2012
9521,23324217,PMC3592521,  J Trop Med,  2012
9522,23321423,,  Influenza Other Respir Viruses,  2013 Mar
9523,23320565,,  BMC Palliat Care,  2012 Jul 10
9524,23318170,,  J Occup Environ Hyg,  2012
9525,23313322,,  PLoS One,  2012
9526,23311431,PMC3599716,  Bull World Health Organ,  2012 Apr 1
9527,23172348,PMC3512398,  Antimicrob Agents Chemother,  2012 Jul
9528,23172344,PMC3512431,  Int J Inflam,  2012
9529,23308335,,  PLoS Negl Trop Dis,  2012
9530,23308189,PMC3538771,  J Immunol,  2012 May 15
9531,23305696,,  Sex Transm Dis,  2012 May
9532,23305523,,  Sex Transm Dis,  2012 May
9533,23305260,,  Stat Methods Med Res,  2016 Feb
9534,23305236,,  Clin Infect Dis,  2012 Apr
9535,23304981,,  Sci Transl Med,  2012 Apr 11
9536,23304528,,  Zentralbl Chir,  2012 Apr
9537,23304156,,  Health Policy Plan,  2013 Mar
9538,23301793,,  Am J Clin Nutr,  2012 May
9539,23301015,PMC3534658,  Intensive Care Med,  2012 May
9540,23300978,PMC3534678,  J Community Health,  2012 Dec
9541,23300828,PMC3530478,  Epilepsy Behav,  2012 May
9542,23300801,PMC3531328,  PLoS One,  2012
9543,23300794,PMC3531362,  J Community Health,  2012 Dec
9544,23300695,PMC3530465,  Food Microbiol,  2012 Aug
9545,23300634,PMC3530563,  Soc Sci Med,  2012 Jun
9546,23300194,,  Nutr Hosp,  2011 Jul-Aug
9547,23297732,PMC3544599,  BMJ Open,  2012 Apr 1
9548,23294938,PMC3547715,  BMC Infect Dis,  2012 Mar 31
9549,23294369,,  Matern Child Nutr,  2014 Jan
9550,23293640,,  Clin J Gastroenterol,  2012 Apr
9551,23290620,PMC3633719,  J Bacteriol,  2012 Apr
9552,23289789,PMC3547786,  Psychiatry Res,  2012 Apr 30
9553,23289547,PMC3545900,  Transpl Int,  2012 Jun
9554,23284681,PMC3526594,  J Clin Nurs,  2012 Jun
9555,23284649,PMC3527465,  Am J Clin Nutr,  2012 May
9556,23284194,PMC3524961,  Adv Virol,  2012
9557,23283748,,  Adv Exp Med Biol,  2012
9558,23283719,PMC3535755,  Health Promot Pract,  2012 May
9559,23283220,,  Anat Histol Embryol,  2012 Oct
9560,23283034,,  Conserv Biol,  2012 Jun
9561,23280312,,  BMC Genomics,  2012 Mar 25
9562,23277711,PMC3286574,  Epidemiology,  2012 Jul
9563,23276741,,  AIDS,  2012 Jul 31
9564,23273046,PMC3544597,  Animal,  2011 Sep
9565,28140885,,  Malar J,  2012 Mar 22
9566,27293605,PMC4732441,  Health Policy Plan,  2013 Mar
9567,27212780,PMC4851118,  AIDS Care,  2012
9568,26862625,,  Arch Sex Behav,  2012 Dec
9569,26862623,,  J Med Virol,  2012 May
9570,26464916,,  GM Crops Food,  2012 Jan-Mar
9571,26464386,PMC4553519,  BMC Pregnancy Childbirth,  2012 Mar 19
9572,26462422,PMC4553466,  AIDS Res Ther,  2012 Mar 19
9573,26316963,,  Lett Appl Microbiol,  2012 Jun
9574,26312317,,  Traffic Inj Prev,  2012
9575,26295130,,  Clin Infect Dis,  2012 Apr
9576,26176092,,  PLoS One,  2012
9577,26146688,,  PLoS One,  2012
9578,26131517,,  PLoS One,  2012
9579,26106727,,  PLoS One,  2012
9580,25969825,,  J Chem Ecol,  2012 Mar
9581,25709826,PMC4337766,  BMC Health Serv Res,  2012 Mar 19
9582,25674419,PMC4320225,  J Acquir Immune Defic Syndr,  2012 Jul 1
9583,25566377,PMC4270021,  Sex Transm Dis,  2012 Apr
9584,25333081,,  Ann Plast Surg,  2012 Apr
9585,25277908,,  Cochrane Database Syst Rev,  2012 Mar 14
9586,25277561,,  Epidemiol Infect,  2013 Jan
9587,25151820,,  J Food Sci,  2011 May
9588,25113712,,  Child Youth Serv,  2012 Mar 16
9589,25113347,,  BMJ,  2012 Mar 13
9590,25112758,,  Stat Med,  2012 Aug 30
9591,24977096,,  Public Health Nutr,  2012 Nov
9592,24963902,PMC3813768,  PLoS One,  2012
9593,24928608,,  PLoS One,  2012
9594,24928605,,  Soc Sci Med,  2012 May
9595,24876899,PMC4033584,  Int J Tuberc Lung Dis,  2012 May
9596,24804013,,  Malar J,  2012 Mar 9
9597,24769581,,  AIDS Res Treat,  2012
9598,24614490,,  Lancet,  2012 May 5
9599,24614488,,  J Relig Health,  2014 Feb
9600,24613871,,  J Acquir Immune Defic Syndr,  2012 Jul 1
9601,23272215,PMC3525533,  Ecol Evol,  2011 Dec
9602,23272206,PMC3525566,  Int J Oral Maxillofac Surg,  2012 May
9603,23271841,PMC3530240,  Hemoglobin,  2012
9604,23271468,,  PLoS One,  2012
9605,23269801,PMC3592142,  PLoS One,  2012
9606,23266524,,  Eur J Appl Physiol,  2012 Nov
9607,23265419,,  AIDS,  2012 Jun 1
9608,23265373,,  World Neurosurg,  2013 Feb
9609,23264654,PMC3549224,  BMC Infect Dis,  2012 Mar 1
9610,23262499,,  J Nutr,  2012 Apr
9611,23262155,,  BMC Int Health Hum Rights,  2011 Dec 16
9612,23261160,PMC3632752,  BMC Int Health Hum Rights,  2011 Dec 16
9613,23259607,PMC3546950,  Diabetes Care,  2012 Apr
9614,23259108,,  Environ Health Perspect,  2012 Jun
9615,23258821,,  Virology,  2012 May 25
9616,23257603,PMC3746767,  Childs Nerv Syst,  2012 Apr
9617,23256520,NIHMS424057,  J Chem Ecol,  2012 Mar
9618,23252634,,  J Am Med Inform Assoc,  2012 Jul-Aug
9619,26392975,,  Trop Med Int Health,  2012 May
9620,26392965,,  Ophthalmic Epidemiol,  2012 Aug
9621,23251555,PMC3520801,  PLoS One,  2012
9622,23249685,PMC3583321,  PLoS One,  2012
9623,23246258,PMC4603391,  PLoS One,  2012
9624,23245409,,  PLoS Med,  2012 Feb
9625,23244783,,  Afr J AIDS Res,  2012 Mar
9626,23244715,,  Afr J AIDS Res,  2012 Mar
9627,23243538,,  Afr J AIDS Res,  2012 Mar
9628,23243108,PMC3541723,  BMJ Support Palliat Care,  2012 Mar
9629,23243080,,  Int Health,  2012 Mar
9630,23242159,NIHMS468493,  J Trauma Stress,  2012 Feb
9631,23239649,,  J Int AIDS Soc,  2012 Feb 22
9632,23239573,,  J Community Health,  2012 Oct
9633,23238215,,  Bull Environ Contam Toxicol,  2012 May
9634,23237018,,  Sex Health,  2012 Mar
9635,23236992,PMC3544635,  PLoS One,  2012
9636,23236357,PMC3516515,  PLoS One,  2012
9637,23236346,PMC3516529,  Contemp Clin Dent,  2011 Oct
9638,23235136,,  Sex Transm Infect,  2012 Mar
9639,23232819,,  AIDS,  2012 May 15
9640,23231132,,  J Med Internet Res,  2012 Feb 17
9641,23229882,,  J Acquir Immune Defic Syndr,  2012 Jul 1
9642,23227344,,  J Int AIDS Soc,  2012 Feb 17
9643,23226107,PMC3514284,  Int J Health Geogr,  2012 Feb 15
9644,23225934,PMC3511951,  J Nutr Gerontol Geriatr,  2012
9645,23224100,PMC3553877,  Nat Commun,  2012 Feb 14
9646,23222955,,  Sex Transm Infect,  2012 Aug
9647,23219357,,  Cardiovasc J Afr,  2012 Feb 12
9648,23218733,,  J Infect Dis,  2012 Mar
9649,23218415,,  J Infect Dis,  2012 Mar
9650,23218134,,  J Infect Dis,  2012 Mar
9651,23217158,PMC3528429,  Arch Dis Child,  2012 Apr
9652,23209662,PMC3509158,  J Interpers Violence,  2012 Jul
9653,23209348,,  J Comp Pathol,  2012 Feb-Apr
9654,23207061,,  Risk Anal,  2012 Sep
9655,23206526,,  Paediatr Anaesth,  2012 Jul
9656,23206383,PMC3523971,  Bull Environ Contam Toxicol,  2012 Apr
9657,23206271,PMC3519515,  Parasit Vectors,  2012 Feb 9
9658,23202764,PMC3509473,  Ann N Y Acad Sci,  2012 Feb
9659,23202303,PMC3509695,  Mucosal Immunol,  2012 May
9660,23202246,,  BMJ,  2012 Feb 8
9661,23201602,,  Work,  2012
9662,23198118,,  Malar J,  2012 Feb 8
9663,23196933,NIHMS487763,  Parasitology,  2012 Jun
9664,23196827,NIHMS424677,  Parasitology,  2012 Mar
9665,23195509,10,3402/gha,v5i0
9666,23195287,,  Eval Program Plann,  2012 Aug
9667,23195285,,  J Ethnopharmacol,  2012 Mar 27
9668,23194541,,  Vet Immunol Immunopathol,  2012 Feb 15
9669,26852451,,  Emerg Infect Dis,  2012 Feb
9670,25860192,,  Zookeys,  2011
9671,23192496,,  Am J Trop Med Hyg,  2012 Feb
9672,23190667,,  J Infect Dis,  2012 Mar 15
9673,23190568,,  AIDS Care,  2012
9674,23188896,,  Pediatr Surg Int,  2012 May
9675,23188670,,  AIDS Care,  2012
9676,23186303,PMC3560262,  Int J Family Med,  2011
9677,23186030,PMC3519522,  AIDS Care,  2012
9678,23185860,,  PLoS One,  2012
9679,23185450,PMC3504110,  Mol Cell Endocrinol,  2012 May 6
9680,23185441,PMC3504142,  Trop Anim Health Prod,  2012 Aug
9681,23185378,PMC3501471,  Int J Tuberc Lung Dis,  2011 Oct
9682,23185283,PMC3501504,  Stress Health,  2012 Aug
9683,23185256,PMC3501492,  Am J Respir Crit Care Med,  2012 Apr 1
9684,23181969,PMC3533956,  Med Mal Infect,  2012 Mar
9685,23181608,NIHMS672630,  Radiat Prot Dosimetry,  2012 Aug
9686,23181423,,  Health Policy Plan,  2012 Oct
9687,23179518,,  PLoS One,  2012
9688,23179234,NIHMS488785,  BMJ,  2012 Jan 24
9689,23177022,,  PLoS One,  2012
9690,23175950,,  Bull World Health Organ,  2011 Dec 1
9691,23169975,,  Bull World Health Organ,  2011 Dec 1
9692,23169974,PMC3502370,  Clin Anat,  2012 Nov
9693,23169973,,  HIV AIDS (Auckl),  2011
9694,23169971,,  J Infect Dis,  2012 Mar 1
9695,23169944,PMC3502313,  Am J Dermatopathol,  2012 Feb
9696,23169934,PMC3502311,  Health Place,  2012 Mar
9697,23167586,,  PLoS One,  2012
9698,23175769,PMC3537443,  Open AIDS J,  2011
9699,23175761,PMC3541697,  J Med Case Rep,  2012 Jan 17
9700,23174389,,  BMC Infect Dis,  2012 Jan 17
9701,23172047,,  Philos Ethics Humanit Med,  2012 Jan 17
9702,23171721,PMC3549939,  J Oncol Pharm Pract,  2012 Dec
9703,23170770,PMC3561146,  PLoS One,  2012
9704,23170210,,  Trop Anim Health Prod,  2012 Aug
9705,23169890,,  Infect Genet Evol,  2012 Mar
9706,23168077,,  Lancet,  2012 Feb 4
9707,23166196,PMC3541741,  PLoS One,  2012
9708,23166193,PMC3541745,  BMC Public Health,  2012 Jan 11
9709,23163565,EMS72087,  Planta Med,  2012 Mar
9710,23161213,,  BMC Public Health,  2012 Jan 10
9711,23160097,PMC3520004,  J Appl Clin Med Phys,  2012 Jan 5
9712,23157920,,  Ann Fam Med,  2012 Jan-Feb
9713,23155139,PMC3538938,  Vet Rec,  2012 Jan 7
9714,23154836,,  J Trop Pediatr,  2012 Oct
9715,23151023,PMC3507805,  Int Perspect Sex Reprod Health,  2011 Dec
9716,23150078,,  Int Perspect Sex Reprod Health,  2011 Dec
9717,23149473,,  J Acquir Immune Defic Syndr,  2012 Feb 1
9718,23148456,PMC3529107,  Vet Parasitol,  2012 May 4
9719,23144879,PMC3492348,  Annu Rev Immunol,  2012
9720,23144840,PMC3492365,  BMC Public Health,  2012 Jan 6
9721,23144796,PMC3489847,  Health Place,  2012 Mar
9722,23144228,,  Mol Ecol,  2012 Apr
9723,23144204,,  Transfusion,  2012 Jul
9724,23143141,,  Trop Anim Health Prod,  2012 Aug
9725,23141371,,  Malar J,  2012 Jan 4
9726,23140538,PMC3502285,  Retrovirology,  2012 Jan 3
9727,23139752,PMC3489903,  BMC Pediatr,  2012 Jan 1
9728,23139447,,  Insects,  2012 Nov 6
9729,23137141,PMC3506461,  Ann Neurosci,  2012 Jan
9730,23136711,,  Biomolecules,  2012 Mar 30
9731,23136710,,  Version 2,  F1000Res
9732,23136705,,  J Health Care Poor Underserved,  2012 Aug
9733,23135005,,  Lymphoma,  2012
9734,23133687,PMC3486883,  Clin Med Insights Ear Nose Throat,  2012 Oct 11
9735,23131264,,  Int Q Community Health Educ,  2012-2013
9736,23130761,PMC3531270,  Glob Health Action,  2012 Jul 18
9737,23124431,,  ISRN Psychiatry,  2012 Jan 26
9738,23122217,,  ISRN Vet Sci,  2012 Jan 23
9739,23121696,,  J Biomed Res,  2012 Jan
9740,23120949,,  PLoS One,  2011
9741,23120935,,  J Int AIDS Soc,  2011 Dec 28
9742,23120933,,  Infect Immun,  2012 Mar
9743,23115650,PMC3480384,  AIDS Behav,  2012 May
9744,23114699,PMC3535781,  Int J Gynaecol Obstet,  2012 Mar
9745,23113743,,  Parasit Vectors,  2011 Dec 23
9746,23112217,PMC3722584,  BMC Health Serv Res,  2011 Dec 21
9747,23111683,,  Parasit Vectors,  2011 Dec 21
9748,23111575,NIHMS713899,  Ecol Lett,  2012 Feb
9749,23111574,,  J Int AIDS Soc,  2011 Dec 19
9750,26852449,,  Environ Entomol,  2010 Dec
9751,23110145,PMC3479127,  Public Health Action,  2011 Dec 21
9752,23109914,PMC3479110,  PLoS One,  2011
9753,23109745,PMC3471059,  Cardiology,  2011
9754,23109585,,  Cardiology,  2011
9755,23108587,,  J Oral Maxillofac Surg,  2012 Aug
9756,23107920,,  Trop Med Int Health,  2012 Mar
9757,23107070,PMC3552835,  Glob Public Health,  2012
9758,23106747,,  Evol Anthropol,  2011 Nov-Dec
9759,23104716,,  Evol Anthropol,  2011 Nov-Dec
9760,23102973,,  Evol Anthropol,  2011 Nov-Dec
9761,29062728,PMC5644517,  Evol Anthropol,  2011 Nov-Dec
9762,23099083,PMC3555126,  Evol Anthropol,  2011 Nov-Dec
9763,23098176,,  Evol Anthropol,  2011 Nov-Dec
9764,23097621,PMC3475315,  Evol Anthropol,  2011 Nov-Dec
9765,23092752,,  Evol Anthropol,  2011 Nov-Dec
9766,23091715,,  Soc Sci Med,  2012 Jan
9767,23091220,,  Lancet Infect Dis,  2012 May
9768,23091194,PMC3516067,  J Laryngol Otol,  2012 Mar
9769,23091190,PMC3516076,  Malar J,  2011 Dec 13
9770,23086047,NIHMS457870,  Malar J,  2011 Dec 13
9771,23085885,,  PLoS One,  2011
9772,23082891,,  2012,7(1)
9773,23082162,PMC3474828,  J Nutr,  2012 Jan
9774,23080358,NIHMS480969,  Clin Infect Dis,  2012 Feb 1
9775,23079811,NIHMS544598,  AIDS,  2012 Feb 20
9776,23077832,,  AIDS,  2012 Feb 20
9777,23077714,,  Ann Plast Surg,  2013 Jan
9778,23077701,,  Ann Plast Surg,  2013 Jan
9779,23077640,PMC3471881,  Clin Infect Dis,  2012 Jan 15
9780,23077473,PMC3471893,  Genome Biol Evol,  2012
9781,23077093,,  Parasit Vectors,  2011 Dec 7
9782,23076720,,  Public Health Nutr,  2012 Jun
9783,23076382,EMS53628,  Value Health,  2011 Dec
9784,23075919,,  Popul Health Metr,  2011 Dec 8
9785,23075916,,  Telemed J E Health,  2012 Jan-Feb
9786,23075408,PMC3519672,  AIDS Care,  2012
9787,23074885,,  AIDS Res Hum Retroviruses,  2012 Sep
9788,23073645,,  Am J Epidemiol,  2011 Dec 1
9789,23073636,,  J Infect Dis,  2012 Feb 1
9790,23072915,,  Am J Trop Med Hyg,  2011 Dec
9791,23071068,,  Am J Trop Med Hyg,  2011 Dec
9792,23069316,PMC3523964,  Am J Trop Med Hyg,  2011 Dec
9793,23069265,PMC3485118,  Am J Trop Med Hyg,  2011 Dec
9794,23066082,PMC3675794,  Am J Trop Med Hyg,  2011 Dec
9795,23065300,NIHMS414587,  J Trop Pediatr,  2012 Aug
9796,23063775,,  Trop Med Int Health,  2012 Mar
9797,23062400,,  AIDS Res Ther,  2011 Dec 5
9798,23060082,PMC3506016,  Int J Gynaecol Obstet,  2011 Nov
9799,23059788,PMC3481264,  PLoS Med,  2011 Nov
9800,23059118,,  PLoS Med,  2011 Nov
9801,23056612,PMC3466230,  PLoS Med,  2011 Nov
9802,23055541,,  PLoS Med,  2011 Nov
9803,23055236,NIHMS604569,  Respir Physiol Neurobiol,  2012 Mar 15
9804,23053065,,  J Assoc Nurses AIDS Care,  2012 Sep-Oct
9805,23051556,,  Vet Parasitol,  2012 Apr 30
9806,23050856,PMC3485129,  BMC Med Res Methodol,  2011 Dec 2
9807,23049928,PMC3457960,  Lancet,  2011 Dec 10
9808,23046538,PMC3576333,  Evolution,  2011 Dec
9809,23045730,,  Nutr Rev,  2011 Dec
9810,23045477,PMC3497437,  Implement Sci,  2011 Dec 2
9811,23044218,PMC3539861,  PLoS One,  2011
9812,23041700,,  J Nutr,  2012 Jan
9813,23040425,PMC3674766,  Bull Environ Contam Toxicol,  2012 Feb
9814,23039968,,  Wilderness Environ Med,  2012 Mar
9815,23039966,PMC3492047,  Int J Environ Health Res,  2012
9816,23039260,PMC3478967,  J Low Genit Tract Dis,  2012 Apr
9817,23036777,,  Neuropathol Appl Neurobiol,  2012 Aug
9818,23036718,,  Afr J AIDS Res,  2011 Dec
9819,23036153,PMC3522534,  Afr J AIDS Res,  2011 Dec
9820,23033400,PMC3516068,  J Bacteriol,  2011 Dec
9821,23033398,PMC3516101,  Antimicrob Agents Chemother,  2012 Feb
9822,23033006,PMC3493776,  Antimicrob Agents Chemother,  2012 Feb
9823,23032415,,  World Neurosurg,  2013 Sep-Oct
9824,23031534,,  Epilepsy Behav,  2012 Jan
9825,23031387,PMC3507620,  Int J Tuberc Lung Dis,  2011 Dec
9826,23030676,,  Pharmacogenomics,  2011 Dec
9827,23030439,,  BMC Pediatr,  2011 Nov 25
9828,23029368,PMC3459830,  AIDS Care,  2011 Dec
9829,23028737,PMC3446983,  AIDS Care,  2011 Dec
9830,23028649,PMC3444503,  BMJ,  2011 Nov 23
9831,23028634,PMC3446991,  J Environ Manage,  2012 Mar
9832,23028602,PMC3461017,  Public Health Nutr,  2012 Jun
9833,23025791,,  Avian Pathol,  2011 Dec
